cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2011;1557600.0;1536000.0;-21600.0;-1.386748844375963;6.0;6.0;0.0;0.0;2011;2014;realizado;259600.0;256000.0;-1.3867488443759624;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2011;644400.0;644400.0;0.0;0.0;5.0;5.0;0.0;0.0;2011;2014;realizado;128880.0;128880.0;0.0;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2012;14264600.0;14405130.0;140530.0;0.9851660754595292;4.0;4.0;0.0;0.0;2012;2015;realizado;3566150.0;3601282.5;0.9851660754595315;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2012;1461200.0;1412400.0;-48800.0;-3.339720777443197;6.0;6.0;0.0;0.0;2012;2015;realizado;243533.33333333334;235400.0;-3.3397207774432003;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2012;619900.0;604800.0;-15100.0;-2.435876754315212;5.0;5.0;0.0;0.0;2012;2015;realizado;123980.0;120960.0;-2.4358767543152138;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2013;16459610.0;14131600.0;-2328010.0;-14.143773758916524;4.0;4.0;0.0;0.0;2013;2016;realizado;4114902.5;3532900.0;-14.143773758916522;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2013;1568160.0;1454400.0;-113760.0;-7.254361799816345;6.0;6.0;0.0;0.0;2013;2016;realizado;261360.0;242400.0;-7.254361799816344;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2013;720900.0;692400.0;-28500.0;-3.9533915938410322;5.0;5.0;0.0;0.0;2013;2016;realizado;144180.0;138480.0;-3.953391593841027;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2014;16249600.0;14184300.0;-2065300.0;-12.709851319417094;4.0;4.0;0.0;0.0;2014;2017;realizado;4062400.0;3546075.0;-12.709851319417098;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2014;2520000.0;2520000.0;0.0;0.0;6.0;6.0;0.0;0.0;2014;2017;realizado;420000.0;420000.0;0.0;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2014;851400.0;756000.0;-95400.0;-11.20507399577167;5.0;5.0;0.0;0.0;2014;2017;realizado;170280.0;151200.0;-11.205073995771675;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2015;15947500.0;17734500.0;1787000.0;11.205518106286252;4.0;3.83;-0.16999999999999993;-4.249999999999998;2015;2018;realizado;3986875.0;4630417.754569191;16.141533270272856;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2015;2652300.0;2520000.0;-132300.0;-4.98812351543943;6.0;6.0;0.0;0.0;2015;2018;realizado;442050.0;420000.0;-4.988123515439435;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2015;864000.0;837000.0;-27000.0;-3.125;5.0;5.0;0.0;0.0;2015;2018;realizado;172800.0;167400.0;-3.125;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2016;19125100.0;21504300.0;2379200.0;12.44019639112998;4.0;4.0;0.0;0.0;2016;2019;realizado;4781275.0;5376075.0;12.440196391129987;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2016;2160000.0;2092000.0;-68000.0;-3.1481481481481484;6.0;6.0;0.0;0.0;2016;2019;realizado;360000.0;348666.6666666667;-3.1481481481481444;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2016;972000.0;1065100.0;93100.0;9.578189300411523;5.0;5.5;0.5;10.0;2016;2019;realizado;194400.0;193654.54545454544;-0.3834642723531734;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2017;20142200.0;18632900.0;-1509300.0;-7.493223183167678;4.0;4.0;0.0;0.0;2017;2020;realizado;5035550.0;4658225.0;-7.493223183167674;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2017;2484000.0;2048000.0;-436000.0;-17.55233494363929;6.0;5.5;-0.5;-8.333333333333334;2017;2020;realizado;414000.0;372363.63636363635;-10.057092665788325;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2017;1274400.0;1021440.0;-252960.0;-19.849340866290017;6.0;5.0;-1.0;-16.666666666666668;2017;2020;realizado;212400.0;204288.0;-3.8192090395480216;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2018;20979957.79;6126100.0;-14853857.79;-70.80022723916072;4.0;4.0;0.0;0.0;2018;2021;realizado;5244989.4475;1531525.0;-70.8002272391607;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2018;2581200.0;3074000.0;492800.0;19.091895242522856;7.0;6.67;-0.33000000000000007;-4.714285714285715;2018;2021;realizado;368742.85714285716;460869.5652173913;24.983998005646168;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2018;0.0;340500.0;340500.0;;0.0;1.67;1.67;;2018;2021;realizado;;203892.21556886227;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2019;36384500.0;39022500.0;2638000.0;7.250340117357666;4.75;4.58;-0.16999999999999993;-3.5789473684210513;2019;2022;realizado;7659894.736842105;8520196.506550219;11.231247938307632;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2019;4274100.0;3050700.0;-1223400.0;-28.623569874359514;6.83;6.25;-0.5800000000000001;-8.49194729136164;2019;2022;realizado;625783.308931186;488112.0;-21.999837158700085;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2019;;0.0;;;;0.0;;;;2022;so realizado;;;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2020;25271300.0;22801900.0;-2469400.0;-9.771559041283986;4.0;4.0;0.0;0.0;2020;2023;realizado;6317825.0;5700475.0;-9.771559041283984;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2020;4066810.0;5122200.0;1055390.0;25.951298437841945;7.0;7.0;0.0;0.0;2020;2023;realizado;580972.8571428572;731742.8571428572;25.951298437841942;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2020;;0.0;;;;0.0;;;;2022;so realizado;;;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2021;27206600.0;24932949.77;-2273650.2300000004;-8.356980401814267;4.0;4.0;0.0;0.0;2021;2024;realizado;6801650.0;6233237.4425;-8.356980401814262;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2021;4718200.0;5798549.43;1080349.4299999997;22.89749120427281;7.0;7.0;0.0;0.0;2021;2024;realizado;674028.5714285715;828364.2042857142;22.897491204272804;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2021;;0.0;;;;0.0;;;;2022;so realizado;;;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2022;25148100.0;20151006.7;-4997093.300000001;-19.870659413633636;4.0;4.0;0.0;0.0;2022;2025;realizado;6287025.0;5037751.675;-19.87065941363364;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho de Administração;2022;3625400.0;3529734.45;-95665.54999999981;-2.6387584818226903;7.0;8.0;1.0;14.285714285714286;2022;2025;realizado;517914.28571428574;441216.80625;-14.808913671594858;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Conselho Fiscal;2022;0.0;;;;0.0;;;;2022;;so previsao;;;;Consumo;Alpargatas
61.079.117/0001-05;ALPARGATAS S.A.;Diretoria Estatutária;2023;30591610.88;15823633.93;-14767976.95;-48.27459726762843;4.0;4.0;0.0;0.0;2023;2026;realizado;7647902.72;3955908.4825;-48.27459726762843;Consumo;Alpargatas
